,"modelName","X","M","Y","IndEff_est","IndEff_SE","IndEff_95%CI-Lo","IndEff_95%CI-Hi","DirEff_b","DirEff_SE","DirEff_X_t","DirEff_X_p","DirEff_model_R^2","DirEff_model_R^2adj","DirEff_model_F","DirEff_model_df1","DirEff_model_df2","DirEff_model_p","aPath_b","aPath_SE","aPath_X_t","aPath_X_p","aPath_model_R^2","aPath_model_R^2adj","aPath_model_F","aPath_model_df1","aPath_model_df2","aPath_model_p","bPath_b","bPath_SE","bPath_X_t","bPath_X_p","bPath_model_R^2","bPath_model_R^2adj","bPath_model_F","bPath_model_df1","bPath_model_df2","bPath_model_p"
"35","med_noC_brain_vol_hippocamp_R_t2_z_cog_reactiontime_mean_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_reactiontime_mean_t2_z","-0.0002095554","0.0002576312","-0.0007145033","0.0002953925","0.020700","0.007992","2.590","0.00960","0.09983","0.09897","116.8","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","0.020909","0.007988","2.618","0.008864","0.1007","0.09978","111.7","19","18951","<2.2e-16"
"36","med_noC_brain_vol_hippocamp_L_t2_z_cog_matrix_cor_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_matrix_cor_t2_z","0.0001112996","0.0001430007","-0.0001689766","0.0003915758","-0.015993","0.008004","-1.998","0.04571","0.09185","0.09098","106.5","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-0.016104","0.008003","-2.012","0.04421","0.09205","0.09114","101.1","19","18951","<2.2e-16"
"37","med_noC_brain_vol_hippocamp_R_t2_z_cog_TMT_alphanumDuration_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_TMT_alphanumDuration_t2_z","-0.0001198782","0.0001592607","-0.0004320235","0.0001922671","0.011898","0.007805","1.524","0.127445","0.1259","0.1251","151.7","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","0.012018","0.007804","1.540","0.12361","0.1262","0.1253","144.1","19","18951","<2.2e-16"
"38","med_noC_brain_vol_hippocamp_L_t2_z_cog_numMem_maxDigitRemem_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_numMem_maxDigitRemem_t2_z","0.0002328882","0.000261587","-0.0002798129","0.0007455893","-0.030440","0.008220","-3.703","0.000213","0.05212","0.05122","57.9","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-0.030672","0.008216","-3.733","0.000190","0.05299","0.05204","55.81","19","18951","<2.2e-16"
"39","med_noC_brain_vol_hippocamp_R_t2_z_cog_TMT_alphanumErrors_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_TMT_alphanumErrors_t2_z","-4.178345e-05","8.197617e-05","-0.0002024538","0.0001188869","-0.001321","0.006883","-0.192","0.84784","0.01746","0.01653","18.71","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","-0.001279","0.006883","-0.186","0.85260","0.01751","0.01652","17.77","19","18951","<2.2e-16"
"40","med_noC_brain_vol_hippocamp_L_t2_z_cog_PC_1_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_PC_1_z","0.0003028958","0.0003317811","-0.0003473833","0.0009531749","-0.016676","0.007554","-2.208","0.027284","0.2193","0.2186","295.8","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-0.016979","0.007547","-2.250","0.024482","0.2208","0.22","282.6","19","18951","<2.2e-16"
"41","med_noC_brain_vol_hippocamp_R_t2_z_cog_TMT_numericDuration_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_TMT_numericDuration_t2_z","-0.0001946369","0.0002391546","-0.0006633713","0.0002740975","0.004283","0.007375","0.581","0.561415","0.1111","0.1103","131.7","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","0.004477","0.007371","0.607","0.543587","0.112","0.1111","125.8","19","18951","<2.2e-16"
"42","med_noC_brain_vol_hippocamp_L_t2_z_cog_PC_2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_PC_2_z","-3.49455e-05","9.182674e-05","-0.0002149226","0.0001450316","-0.008692","0.008429","-1.031","0.302464","0.003228","0.002282","3.41","18","18952","1.256e-06","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-0.008657","0.008429","-1.027","0.30443","0.003248","0.002248","3.25","19","18951","2.095e-06"
"43","med_noC_brain_vol_hippocamp_R_t2_z_cog_TMT_numericErrors_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_TMT_numericErrors_t2_z","-2.287711e-05","7.863259e-05","-0.0001769942","0.0001312399","-0.0053717","0.0077458","-0.694","0.488000","0.007809","0.006867","8.287","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","-5.349e-03","7.746e-03","-0.691","0.489872","0.007821","0.006826","7.863","19","18951","<2.2e-16"
"44","med_noC_brain_vol_hippocamp_L_t2_z_cog_PC_3_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_PC_3_z","-0.0002159726","0.0002451071","-0.0006963736","0.0002644284","0.017086","0.008397","2.035","0.041880","0.0296","0.02867","32.11","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","0.017302","0.008394","2.061","0.039293","0.03033","0.02935","31.19","19","18951","<2.2e-16"
"45","med_noC_brain_vol_hippocamp_R_t2_z_cog_tower_cor_t2_z","crp_log_z","brain_vol_hippocamp_R_t2_z","cog_tower_cor_t2_z","8.105504e-05","0.0001228691","-0.0001597641","0.0003218741","0.011574","0.008143","1.421","0.155239","0.06621","0.06532","74.65","18","18952","<2.2e-16","0.005755","0.006759","0.852","0.394502","0.3743","0.3737","629.7","18","18952","<2.2e-16","0.011493","0.008143","1.411","0.158142","0.06633","0.0654","70.86","19","18951","<2.2e-16"
